864	1	4
864	5	0
864	11	3000
864	12	5000
864	15	95
864	2	350
864	4	3600
864	49	500
864	48	1500
864	59	500
864	53	1
864	52	100
864	18	130
864	65	4000
864	68	4000
864	88	2
864	9	0
864	34	3965
864	29	1
4829	35	2
4829	10	0
4829	7	1
4829	67	0
4829	29	2
5329	35	2
5329	48	1500
5329	50	1
5329	42	0
5329	29	3
6829	35	2
6829	43	0
6829	29	4
7329	35	2
7329	29	4
13301	13	602
13472	13	605
13837	13	602
15010	13	611
29640	13	601
30042	13	605
41080	13	604
41283	13	606
42028	13	604
42795	13	604
47246	13	605
59567	13	602
59790	13	605
59992	13	603
62292	13	601
67478	13	601
67652	13	607
67815	13	606
67976	13	610
68135	13	601
